FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=20, fi_cycle=7, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=44, opcode=alloca
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=58, fi_cycle=71, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=16, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=62, fi_cycle=75, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=6, opcode=fsub
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4, fi_cycle=81, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=20, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=37, fi_cycle=216, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=77, fi_cycle=51, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=11, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=37, fi_cycle=228, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=47, fi_cycle=101, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=40, opcode=fpext
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=61, fi_cycle=74, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=26, opcode=fmul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=39, fi_cycle=94, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=18, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=8, fi_cycle=45, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=1, opcode=fsub
